CIC_AEM_VERS = 1.0
CREATION_DATE = 2025-09-10T10:10:01
ORIGINATOR = SUTS

META_START

COMMENT Detumbling simulation output using quaternion

OBJECT_NAME = SUTS
OBJECT_ID = SUTS

REF_FRAME_A = EME2000
REF_FRAME_B = SC_BODY_1
ATTITUDE_DIR = A2B
TIME_SYSTEM = UTC
ATTITUDE_TYPE = QUATERNION

META_STOP

60928 36559.86608 0.282802 -0.675078 0.629992 0.259621
60928 36560.86608 0.285248 -0.681557 0.623232 0.256311
60928 36561.86608 0.284239 -0.679643 0.625574 0.256809
60928 36562.86608 0.280843 -0.671448 0.634603 0.259930
60928 36563.86608 0.278515 -0.665362 0.641205 0.261875
60928 36564.86608 0.279689 -0.667836 0.638850 0.260075
60928 36565.86608 0.283221 -0.676595 0.629805 0.255639
60928 36566.86608 0.285628 -0.683074 0.623024 0.252324
60928 36567.86608 0.284632 -0.681162 0.625366 0.252824
60928 36568.86608 0.281291 -0.672971 0.634409 0.255951
60928 36569.86608 0.279007 -0.666886 0.641020 0.257896
60928 36570.86608 0.280173 -0.669359 0.638655 0.256088
60928 36571.86608 0.283656 -0.678114 0.629585 0.251640
60928 36572.86608 0.286024 -0.684593 0.622784 0.248319
60928 36573.86608 0.285040 -0.682685 0.625126 0.248821
60928 36574.86608 0.281751 -0.674498 0.634183 0.251952
60928 36575.86608 0.279509 -0.668416 0.640805 0.253897
60928 36576.86608 0.280667 -0.670886 0.638431 0.252079
60928 36577.86608 0.284100 -0.679639 0.629336 0.247618
60928 36578.86608 0.286427 -0.686117 0.622516 0.244290
60928 36579.86608 0.285453 -0.684212 0.624857 0.244792
60928 36580.86608 0.282216 -0.676032 0.633930 0.247927
60928 36581.86608 0.280017 -0.669952 0.640563 0.249870
60928 36582.86608 0.281165 -0.672421 0.638179 0.248040
60928 36583.86608 0.284546 -0.681170 0.629060 0.243565
60928 36584.86608 0.286831 -0.687648 0.622221 0.240229
60928 36585.86608 0.285866 -0.685748 0.624563 0.240730
60928 36586.86608 0.282888 -0.677494 0.633561 0.244084
60928 36587.86608 0.281126 -0.671265 0.640017 0.246475
60928 36588.86608 0.282661 -0.673580 0.637438 0.245082
60928 36589.86608 0.286405 -0.682166 0.628116 0.241024
60928 36590.86608 0.289073 -0.688479 0.621081 0.238100
60928 36591.86608 0.288525 -0.686428 0.623241 0.239041
60928 36592.86608 0.285764 -0.678118 0.632152 0.242650
60928 36593.86608 0.284010 -0.671906 0.638610 0.245067
60928 36594.86608 0.285535 -0.674220 0.636024 0.243663
60928 36595.86608 0.289255 -0.682790 0.626689 0.239563
60928 36596.86608 0.291906 -0.689092 0.619646 0.236606
60928 36597.86608 0.291362 -0.687049 0.621806 0.237551
60928 36598.86608 0.288619 -0.678760 0.630721 0.241193
60928 36599.86608 0.286876 -0.672565 0.637181 0.243635
60928 36600.86608 0.288392 -0.674876 0.634589 0.242218
60928 36601.86608 0.292089 -0.683430 0.625241 0.238077
60928 36602.86608 0.294723 -0.689721 0.618189 0.235088
60928 36603.86608 0.294183 -0.687685 0.620349 0.236037
60928 36604.86608 0.291459 -0.679418 0.629270 0.239713
60928 36605.86608 0.289728 -0.673240 0.635732 0.242180
60928 36606.86608 0.291235 -0.675548 0.633132 0.240752
60928 36607.86608 0.294909 -0.684085 0.623771 0.236570
